Ingredient,Quantity
Leaf,26
Sand,8
Flame,0
Pepper,0
Steel,1
Feather,9
Beetle,3
Lightning,0
Crystal,0
Tooth,0
Egg,0
Shadow,0
Spirit,0
Essence,0
Power,1
